Year,Germans,Spaniards,Italians,Japanese,Portuguese,Russians,Syrians_Turks,Others,Total
1884,2016,1515,16695,0,5895,447,10,1505,28083
1885,7248,1149,20914,0,3421,361,10,1515,34618
1886,2883,1587,21765,0,10205,189,10,1489,38128
1887,1147,1766,40157,0,10206,104,10,966,54356
1888,782,4736,104353,0,18299,327,10,783,129290
1889,2102,9712,36124,0,15240,331,10,1719,65238
1890,4826,12008,106819,0,25174,11517,10,11315,171669
1891,5288,22146,132538,0,33245,5117,10,19316,217660
1892,808,10471,55049,0,17797,0,8,1202,85335
1893,1368,38998,58552,0,28986,0,8,3736,131648
1894,795,5986,34872,0,17041,26,712,1819,61251
1895,973,17641,97344,0,36065,27,712,4534,157296
1896,1070,24154,96505,0,23580,388,712,5534,151943
1897,926,19466,104510,0,13598,303,712,4826,144341
1898,520,8024,49086,0,13859,224,712,4908,77333
1899,521,8584,30846,0,10989,358,712,5634,57644
1900,217,4834,19671,0,8250,105,712,4289,38078
1901,166,8684,59869,0,11261,135,712,3516,84343
1902,245,3588,32111,0,11606,0,712,2898,51160
1903,1231,4466,12970,0,11378,100,712,4688,35545
1904,797,10046,12857,0,17318,207,4580,8405,54210
1905,1099,25329,17360,0,20181,368,4580,9271,78188
1906,1233,24441,20777,0,21706,2711,4580,7741,83189
1907,1651,9235,18238,859,25681,2751,4580,14271,77266
1908,2931,14862,13873,781,37628,5780,4580,14976,95411
1909,5413,16219,13668,31,30577,6269,4580,16470,93227
1910,3902,21497,14163,948,30857,6368,4580,13241,95556
1911,4642,27141,22914,28,47493,6286,4580,11471,124555
1912,5683,35492,31785,2909,76530,8138,4580,17336,182453
1913,8004,41064,30886,7122,76701,12666,4580,19364,200387
1914,2811,18945,15542,3675,27935,2226,2040,10448,83622
1915,160,5895,5779,65,15118,277,2040,3379,32713
1916,171,8361,5340,165,11081,277,2040,3703,31138
1917,147,6817,5478,3899,6817,443,2040,3228,28869
1918,94,3801,1050,5599,7981,821,2040,2550,23936
1919,399,5176,5231,3022,17068,571,2040,2720,36227
1920,4120,9092,10005,1013,33883,2522,2040,11040,73715
1921,1176,6237,8627,840,19981,261,2040,7220,46382
1922,2022,6262,8406,1225,28622,566,2040,6025,55168
1923,6004,10140,10149,0,31866,277,2040,16773,77249
1924,22169,7209,9220,2673,23267,756,2449,20870,88613
1925,2516,10009,8253,6330,21508,734,2449,24079,75878
1926,7674,8892,11977,8407,47599,296,2449,33619,120913
1927,4184,9573,12487,9684,25902,2893,2449,30966,98138
1928,4228,4436,3526,11169,33859,905,2449,22717,83289
1929,4573,7124,5288,16648,38879,872,2449,22930,98763
1930,4130,3619,4089,14076,18740,909,2449,20918,68930
1931,2179,1724,2804,5632,8152,72,2449,5005,28017
1932,2226,1713,2044,11670,8499,73,2449,4602,33276
1933,3298,1921,1940,24474,10490,79,2449,4623,49274
1934,3626,1520,660,21394,8732,80,0,2172,38184
1935,4206,1691,583,9611,9327,77,0,2779,28274
1936,1226,580,387,3306,4626,54,0,2174,12353
1937,4642,951,409,4557,11101,27,0,3443,25130
1938,3169,408,456,2524,7435,0,0,2687,16679
1939,2348,255,319,1414,15120,37,0,3442,22935
1940,1162,128,101,1268,11737,0,0,1992,16388
1941,376,173,85,1548,6062,31,0,1196,9471
1942,375,45,1,1934,1322,0,0,609,4286
1943,109,42,97,1984,3821,9,0,386,6448
1944,1081,0,1,2,419,33,0,1121,2657
1945,310,0,33,6,901,20,0,1171,2441
1946,5908,683,621,12,3251,8,0,8914,19397
1947,12786,952,603,1,4787,1447,0,4533,25109
1948,10454,2373,901,2,2192,0,0,7016,22938
1949,10308,3023,890,35,5421,1,0,5018,24696
1950,7344,1418,906,33,13257,138,0,7314,30410
1951,53064,5129,9559,106,29282,150,0,12929,110219
1952,62999,7789,14607,260,48561,188,0,18300,152704
1953,75600,7148,19662,1280,65949,346,0,22005,191990